institute_▲▼,opening_rank_▲▼,closing_rank_▲▼,category_▲▼,round_▲▼,program_▲▼,stream_▲▼,seat_type_▲▼,quota_▲▼
"Heritage Institute of Technology, Kolkata",2683,5125,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Narula Institute of Technology, Agarpara, Kolkata",14327,16283,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Sanaka Education Trusts Group of Institutions, Durgapur, Burdwan",28331,28331,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Dr. B. C. Roy Engineering College, Durgapur",16479,23917,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex, Dum Dum",24146,28039,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Academy of Technology, Adisaptagram, Hooghly",7923,11425,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ramkrishna Mahato Government Engineering College, Purulia",16127,16440,OBC - B,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Calcutta Institute of Technology, Uluberia, Howrah",358407,826905,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Govt. College of Engg. & Textile Technology, Berhampore",14627,14649,OBC - B,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Govt. College of Engg. & Textile Technology, Berhampore",71978,99579,ST,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Kalyani Goverment Engineering College, Kalyani, Nadia",9191,11715,OBC - A,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Kalyani Goverment Engineering College, Kalyani, Nadia",1954,3849,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Jalpaiguri Goverment Engineering College,Jalpaiguri",4693,5101,OBC - B,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Jalpaiguri Goverment Engineering College,Jalpaiguri",5313,6507,EWS,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ramkrishna Mahato Government Engineering College, Purulia",19226,25213,EWS,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Kalyani Goverment Engineering College, Kalyani, Nadia",7945,12406,SC,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",7078,13292,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Bankura Unnayani Institute of Engineering, Bankura",61352,108794,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Calcutta Institute of Technology, Uluberia, Howrah",52973,88134,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Techno India University, Salt Lake",35964,35964,Tuition Fee Waiver,Round 1,Civil Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,1283,1915,Tuition Fee Waiver,Round 1,Civil Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Heritage Institute of Technology, Kolkata",15224,18044,Tuition Fee Waiver,Round 1,Civil Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ramkrishna Mahato Government Engineering College, Purulia",12283,15988,Tuition Fee Waiver,Round 1,Civil Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Cooch Behar Government Engineering College, Cooch Behar",7469,15493,Tuition Fee Waiver,Round 1,Civil Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Jalpaiguri Goverment Engineering College,Jalpaiguri",4716,5469,Tuition Fee Waiver,Round 1,Civil Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Haldia Institute of Technology, Haldia, Purba Medinipur",16689,33146,Tuition Fee Waiver,Round 1,Civil Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Govt. College of Engineering & Textile Technology, Serampore",18949,30761,SC,Round 1,Textile Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Govt. College of Engineering & Textile Technology, Serampore",42179,78628,ST,Round 1,Textile Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Govt. College of Engg. & Textile Technology, Berhampore",19140,19904,OBC - B,Round 1,Textile Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Govt. College of Engineering & Textile Technology, Serampore",17594,25505,OBC - A,Round 1,Textile Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Govt. College of Engineering & Textile Technology, Serampore",14738,15207,OBC - B,Round 1,Textile Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ramkrishna Mahato Government Engineering College, Purulia",66836,66836,Open (PwD),Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Budge Budge Institute of Technology, Budge-Budge",21672,106344,Open,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Hooghly Engineering & Technology College, Hooghly",307356,726093,Open,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Murshidabad College of Engineering & Technology, Murshidabad",58819,110407,Open,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Techno India University, Salt Lake",452830,466322,Open,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Jalpaiguri Goverment Engineering College,Jalpaiguri",5924,6572,OBC - B,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Jalpaiguri Goverment Engineering College,Jalpaiguri",6670,8444,EWS,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ramkrishna Mahato Government Engineering College, Purulia",18347,18898,OBC - B,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ramkrishna Mahato Government Engineering College, Purulia",21457,32018,EWS,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Dr. B. C. Roy Engineering College, Durgapur",22953,99583,Open,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Heritage Institute of Technology, Kolkata",31124,31124,SC,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Imps College of Engineering & Technology, Malda",60751,99036,Open,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Jis College of Engineering, Kalyani, Nadia",32043,105256,Open,Round 1,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Supreme Knowledge Foundation Group of Institutions, Mankundu, Hooghly",32236,32350,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
University Of Calcutta,1410,1624,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"St. Thomas College of Engineering & Technology, Khidirpur, Kolkata",16625,16736,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Swami Vivekananda Institute of Science & Technology, Sonarpur",28744,37243,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Hooghly Engineering & Technology College, Hooghly",10055,22878,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"UNIVERSITY INSTITUTE OF TECHNOLOGY, BURDWAN UNIVERSITY",1557,7704,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Gargi Memorial Institute of Technology, Baruipur, Kolkata",37168,38113,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Netaji Subhas Engineering College, Garia, Kolkata",6907,10533,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Techno Main Salt Lake, Sector-V, Salt Lake",6380,7733,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Techno India University, Salt Lake",9882,9882,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Kalyani Goverment Engineering College, Kalyani, Nadia",1726,1973,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Jalpaiguri Goverment Engineering College,Jalpaiguri",3673,3871,EWS,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Jalpaiguri Goverment Engineering College,Jalpaiguri",31885,42126,Open (PwD),Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Kalyani Goverment Engineering College, Kalyani, Nadia",30851,36166,Open (PwD),Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ramkrishna Mahato Government Engineering College, Purulia",11017,12828,EWS,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ramkrishna Mahato Government Engineering College, Purulia",2557,8542,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ramkrishna Mahato Government Engineering College, Purulia",79177,104464,Open (PwD),Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Bankura Unnayani Institute of Engineering, Bankura",425072,1265893,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Calcutta Institute of Engineering & Management, Tollygunge, Kolkata",10364,91921,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Guru Nanak Institute of Technology, Panihati, Sodepur",10985,108385,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Hooghly Engineering & Technology College, Hooghly",86023,386721,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Jis College of Engineering, Kalyani, Nadia",236348,563985,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Murshidabad College of Engineering & Technology, Murshidabad",36534,104205,Open,Round 1,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Mckv Institute of Engineering, Liluah, Howrah",27950,27950,Tuition Fee Waiver,Round 1,Automobile Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Techno Main Salt Lake, Sector-V, Salt Lake",11852,23581,Open,Round 1,Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"UNIVERSITY OF KALYANI, KALYANI",11851,18209,OBC - A,Round 1,Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"UNIVERSITY OF KALYANI, KALYANI",6828,7737,OBC - B,Round 1,Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Sanaka Education Trusts Group of Institutions, Durgapur, Burdwan",8420,9781,Open,Round 1,Architecture,B. Arch (JEE(Main) Seats),JEE(Main) Seats,All India
"Techno Main Salt Lake, Sector-V, Salt Lake",75369,86998,EWS,Round 1,Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"UNIVERSITY OF KALYANI, KALYANI",55902,63830,ST,Round 1,Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"UNIVERSITY OF KALYANI, KALYANI",3337,4842,Open,Round 1,Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"UNIVERSITY OF KALYANI, KALYANI",11532,17753,SC,Round 1,Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Techno Main Salt Lake, Sector-V, Salt Lake",86765,97810,Open,Round 1,Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"UNIVERSITY OF KALYANI, KALYANI",7914,16284,EWS,Round 1,Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Haldia Institute of Technology, Haldia, Purba Medinipur",54312,79002,SC,Round 1,Agricultural Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Bidhan Chandra Krishi Viswa Vidyalaya, Mohanpur, Nadia",8193,14234,OBC - A,Round 1,Agricultural Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Bidhan Chandra Krishi Viswa Vidyalaya, Mohanpur, Nadia",7771,12722,SC,Round 1,Agricultural Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Govt. College of Engg. & Textile Technology, Berhampore",25841,27556,OBC - A,Round 1,Textile Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Govt. College of Engg. & Textile Technology, Berhampore",12427,18833,Open,Round 1,Textile Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Govt. College of Engg. & Textile Technology, Berhampore",20572,32719,SC,Round 1,Textile Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Govt. College of Engg. & Textile Technology, Berhampore",85408,101204,ST,Round 1,Textile Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Govt. College of Engineering & Textile Technology, Serampore",7652,14287,Open,Round 1,Textile Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Govt. College of Engineering & Textile Technology, Serampore",105564,105564,Open (PwD),Round 1,Textile Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Govt. College of Engineering & Textile Technology, Serampore",20406,32156,EWS,Round 1,Textile Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Govt. College of Engg. & Textile Technology, Berhampore",21030,37299,EWS,Round 1,Textile Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Om Dayal Group of Institutions, Uluberia, Howrah",34610,36842,Tuition Fee Waiver,Round 1,Architecture (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,963,1425,Tuition Fee Waiver,Round 1,Power Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
University Of Calcutta,2788,2788,Tuition Fee Waiver,Round 1,Optics & Optoelectronics (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Techno International Batanagar,340597,581739,Open,Round 1,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Meghnad Saha Institute of Technology, Kolkata",55130,96475,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Govt. College of Engg. & Textile Technology, Berhampore",14969,21413,OBC - A,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Asansol Engineering College, Asansol, Burdwan",207564,576066,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Dr. B. C. Roy Engineering College, Durgapur",178822,1046084,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Future Institute of Engineering & Management, Sonarpur",709247,709247,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Kalyani Goverment Engineering College, Kalyani, Nadia",3949,4110,OBC - B,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Kalyani Goverment Engineering College, Kalyani, Nadia",4277,5263,EWS,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Ramkrishna Mahato Government Engineering College, Purulia",23117,25849,OBC - A,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Camellia Institute of Technology & Management, Bainchi, Hooghly",1185010,1185010,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Bengal College of Engineering & Technology, Durgapur",12182,99174,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Cooch Behar Government Engineering College, Cooch Behar",17300,22379,OBC - A,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Kalyani Goverment Engineering College, Kalyani, Nadia",86778,86778,Open (PwD),Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Govt. College of Engg. & Textile Technology, Berhampore",9373,14519,Open,Round 1,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Mckv Institute of Engineering, Liluah, Howrah",10070,19847,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Asansol Engineering College, Asansol, Burdwan",23037,27494,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"B.P. Poddar Institute of Management & Technology, Kolkata",14077,18096,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"College of Engineering and Management, Kolaghat",26159,32340,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"UNIVERSITY OF KALYANI, KALYANI",3393,3393,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Cooch Behar Government Engineering College, Cooch Behar",6954,8716,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Budge Budge Institute of Technology, Budge-Budge",32751,34615,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Future Institute of Engineering & Management, Sonarpur",24700,28309,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
Jadavpur University,5555,5831,OBC - A,Round 1,Metallurgical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Guru Nanak Institute of Technology, Panihati, Sodepur",18552,24559,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Jis College of Engineering, Kalyani, Nadia",22917,27792,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,6752,10500,Tuition Fee Waiver,Round 1,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Sister Nivedita University, New Town",28550,31011,Tuition Fee Waiver,Round 1,COMPUTER SCIENCE AND APPLIED MATHEMATICS - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State
"Sanaka Education Trusts Group of Institutions, Durgapur, Burdwan",358672,358672,Open,Round 1,Electrical & Electronics Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Institute of Science and Technology, Paschim Medinipur",645026,645026,Open,Round 1,Electrical & Electronics Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Academy of Technology, Adisaptagram, Hooghly",84381,288326,Open,Round 1,Electrical & Electronics Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
"Regent Education and Research Foundation, Barasat, Kolkata",25330,84126,Open,Round 1,Electrical & Electronics Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Swami Vivekananda Institute of Science & Technology, Sonarpur",25820,74700,Open,Round 1,Electrical & Electronics Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Academy of Technology, Adisaptagram, Hooghly",15975,59788,Open,Round 1,Electrical & Electronics Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India
"Swami Vivekananda Institute of Science & Technology, Sonarpur",777342,1167368,Open,Round 1,Electrical & Electronics Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India
