Opening Rank,Closing Rank,Academic Program Name,Institute,Seat Type,Quota,Gender
248008,248008,"Bio Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",ST,All India,Gender-Neutral
80500,90396,"Bio Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Home State,Gender-Neutral
82170,82170,"Bio Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Home State,Female-only (including Supernumerary)
100961,126364,"Bio Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Home State,Gender-Neutral
123088,123088,"Bio Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Home State,Female-only (including Supernumerary)
178044,178044,"Bio Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Home State,Gender-Neutral
231851,259158,"Bio Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Home State,Female-only (including Supernumerary)
227320,227320,"Bio Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",SC,Home State,Gender-Neutral
52213,58114,"Bio Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Gender-Neutral
67369,67918,"Bio Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Female-only (including Supernumerary)
60812,61191,"Bio Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Other State,Gender-Neutral
61972,66771,"Bio Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Other State,Gender-Neutral
81727,92975,"Bio Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Other State,Female-only (including Supernumerary)
180008,181463,"Bio Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",SC,Other State,Gender-Neutral
156431,156431,"Bio Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",SC,Other State,Female-only (including Supernumerary)
252717,252717,"Bio Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",ST,Other State,Gender-Neutral
206400,212811,"Chemical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",ST,All India,Gender-Neutral
49445,65761,"Chemical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Home State,Gender-Neutral
36816,36816,"Chemical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Home State,Female-only (including Supernumerary)
71104,71104,"Chemical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Home State,Gender-Neutral
99424,99424,"Chemical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Home State,Gender-Neutral
210033,212668,"Chemical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",SC,Home State,Gender-Neutral
33910,41575,"Chemical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Gender-Neutral
46420,62541,"Chemical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Female-only (including Supernumerary)
43747,45121,"Chemical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Other State,Gender-Neutral
68915,68915,"Chemical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Other State,Female-only (including Supernumerary)
42844,48164,"Chemical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Other State,Gender-Neutral
65925,71483,"Chemical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Other State,Female-only (including Supernumerary)
146271,147635,"Chemical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",SC,Other State,Gender-Neutral
180117,180117,"Chemical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",SC,Other State,Female-only (including Supernumerary)
214768,226763,"Chemical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",ST,Other State,Gender-Neutral
82411,82411,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",ST,All India,Gender-Neutral
239907,239907,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",ST,All India,Female-only (including Supernumerary)
59350,75856,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Home State,Gender-Neutral
66693,84724,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Home State,Female-only (including Supernumerary)
83940,96377,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Home State,Gender-Neutral
212408,212408,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Home State,Female-only (including Supernumerary)
201378,205319,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",SC,Home State,Gender-Neutral
541172,541172,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",ST,Home State,Gender-Neutral
42520,47442,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Gender-Neutral
58993,69745,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Female-only (including Supernumerary)
50957,52101,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Other State,Gender-Neutral
74954,74954,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Other State,Female-only (including Supernumerary)
49053,53516,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Other State,Gender-Neutral
72793,78840,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Other State,Female-only (including Supernumerary)
136035,157046,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",SC,Other State,Gender-Neutral
183657,183657,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",SC,Other State,Female-only (including Supernumerary)
160032,175725,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",ST,Other State,Gender-Neutral
244291,244291,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",ST,Other State,Female-only (including Supernumerary)
67204,67204,"Computer Science and Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",ST,All India,Gender-Neutral
7122,12192,"Computer Science and Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Home State,Gender-Neutral
24776,24776,"Computer Science and Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Home State,Gender-Neutral
