institute,program,round,opening_rank,closing_rank,seat_type,quota,category
"Haldia Institute of Technology, Haldia, Purba Medinipur",Computer Science & Engineering - TFW,Round 1,5021,8720,WBJEE Seats,Home State,Tuition Fee Waiver
"Kalyani Goverment Engineering College, Kalyani, Nadia",Computer Science & Engineering - TFW,Round 1,1233,1432,WBJEE Seats,Home State,Tuition Fee Waiver
"Mckv Institute of Engineering, Liluah, Howrah",Computer Science & Engineering - TFW,Round 1,11397,17467,WBJEE Seats,Home State,Tuition Fee Waiver
"St. Thomas College of Engineering & Technology, Khidirpur, Kolkata",Computer Science & Engineering - TFW,Round 1,8360,17234,WBJEE Seats,Home State,Tuition Fee Waiver
"Maulana Abul Kalam Azad University of Technology, West Bengal",Computer Science & Engineering - TFW,Round 1,3951,4509,WBJEE Seats,Home State,Tuition Fee Waiver
University Of Calcutta,Computer Science & Engineering - TFW,Round 1,1619,1674,WBJEE Seats,Home State,Tuition Fee Waiver
"Meghnad Saha Institute of Technology, Kolkata",Computer Science & Engineering - TFW,Round 1,8007,17387,WBJEE Seats,Home State,Tuition Fee Waiver
"Rcc Institute of Information Technology, Kolkata",Computer Science & Engineering - TFW,Round 1,9142,15684,WBJEE Seats,Home State,Tuition Fee Waiver
Swami Vivekananda University,Computer Science & Engineering - TFW,Round 1,26984,34607,WBJEE Seats,Home State,Tuition Fee Waiver
"B.P. Poddar Institute of Management & Technology, Kolkata",Computer Science & Engineering - TFW,Round 1,8328,16907,WBJEE Seats,Home State,Tuition Fee Waiver
"College of Engineering and Management, Kolaghat",Computer Science & Engineering - TFW,Round 1,5086,25310,WBJEE Seats,Home State,Tuition Fee Waiver
"Sister Nivedita University, New Town",Computer Science & Engineering - TFW,Round 1,5627,28152,WBJEE Seats,Home State,Tuition Fee Waiver
"Haldia Institute of Technology, Haldia, Purba Medinipur",Computer Science & Engineering (Data Science),Round 1,57068,72995,WBJEE Seats,Home State,EWS
"Kaji Nazrul University, Asansol",Computer Science & Engineering (Data Science),Round 1,16613,23200,WBJEE Seats,Home State,EWS
"Kaji Nazrul University, Asansol",Computer Science & Engineering (Data Science),Round 1,12391,19598,WBJEE Seats,Home State,OBC - A
"Kaji Nazrul University, Asansol",Computer Science & Engineering (Data Science),Round 1,95033,95033,WBJEE Seats,Home State,Open (PwD)
"Kaji Nazrul University, Asansol",Computer Science & Engineering (Data Science),Round 1,14615,26893,WBJEE Seats,Home State,SC
Jadavpur University,Instrumentation & Electronics,Round 1,15158,19748,WBJEE Seats,Home State,ST
"Kaji Nazrul University, Asansol",Computer Science & Engineering (Data Science),Round 1,10923,14860,WBJEE Seats,Home State,OBC - B
"Kaji Nazrul University, Asansol",Computer Science & Engineering (Data Science),Round 1,4809,10264,WBJEE Seats,All India,Open
"Kaji Nazrul University, Asansol",Computer Science & Engineering (Data Science),Round 1,93426,97072,WBJEE Seats,Home State,ST
THE NEOTIA UNIVERSITY,Computer Science & Engineering (Data Science),Round 1,33086,52429,WBJEE Seats,All India,Open
"Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex, Dum Dum",Computer Science & Engineering (Data Science),Round 1,47189,97966,WBJEE Seats,All India,Open
Jadavpur University,Chemical Engineering,Round 1,23623,48447,WBJEE Seats,Home State,Open (PwD)
Jadavpur University,Chemical Engineering,Round 1,1938,2634,WBJEE Seats,Home State,OBC - B
Jadavpur University,Chemical Engineering,Round 1,2381,2647,WBJEE Seats,Home State,EWS
"Techno International New Town, Rajarhat, New Town",Computer Science & Engineering (Data Science),Round 1,31152,86367,WBJEE Seats,All India,Open
"Netaji Subhas Engineering College, Garia, Kolkata",Computer Science & Engineering (Data Science),Round 1,19408,51392,WBJEE Seats,All India,Open
"Nshm Knowledge Campus, Durgapur Group of Institutions",Computer Science & Engineering (Data Science),Round 1,23129,95150,WBJEE Seats,All India,Open
"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,Round 1,1958,2610,WBJEE Seats,Home State,Open
"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,Round 1,8075,10103,WBJEE Seats,Home State,SC
"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,Round 1,5026,5920,WBJEE Seats,Home State,OBC - A
"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,Round 1,28924,28924,WBJEE Seats,Home State,OBC - B (PwD)
"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,Round 1,3419,9267,WBJEE Seats,Home State,Open (PwD)
"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,Round 1,50009,50009,WBJEE Seats,Home State,OBC - A (PwD)
"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,Round 1,27743,30381,WBJEE Seats,Home State,ST
"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,Round 1,2718,3272,WBJEE Seats,Home State,OBC - B
"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,Round 1,5117,5308,WBJEE Seats,Home State,EWS
"Mckv Institute of Engineering, Liluah, Howrah",Information Technology,Round 1,5470,91546,WBJEE Seats,All India,Open
"Mckv Institute of Engineering, Liluah, Howrah",Information Technology,Round 1,98568,98568,WBJEE Seats,Home State,EWS
Jadavpur University,Chemical Engineering,Round 1,1014,1406,WBJEE Seats,Home State,Open
Jadavpur University,Chemical Engineering,Round 1,18163,31928,WBJEE Seats,Home State,ST
Jadavpur University,Chemical Engineering,Round 1,716,1012,WBJEE Seats,All India,Open
"St. Thomas College of Engineering & Technology, Khidirpur, Kolkata",Information Technology,Round 1,27859,81045,WBJEE Seats,All India,Open
"Bankura Unnayani Institute of Engineering, Bankura",Information Technology,Round 1,29388,59916,WBJEE Seats,All India,Open
BRAINWARE UNIVERSITY,Computer Science & Engineering (Artificial Intelligence And Machine Learning),Round 1,14052,89608,WBJEE Seats,All India,Open
BRAINWARE UNIVERSITY,Computer Science & Engineering (Artificial Intelligence And Machine Learning),Round 1,79967,79967,WBJEE Seats,Home State,OBC - B
"Asansol Engineering College, Asansol, Burdwan",Computer Science & Engineering (Artificial Intelligence And Machine Learning),Round 1,12997,66207,WBJEE Seats,All India,Open
"Dr. B. C. Roy Engineering College, Durgapur",Computer Science & Engineering (Artificial Intelligence And Machine Learning),Round 1,9021,78384,WBJEE Seats,All India,Open
"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Computer Science & Engineering (Artificial Intelligence And Machine Learning),Round 1,15208,17845,WBJEE Seats,Home State,EWS
"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Computer Science & Engineering (Artificial Intelligence And Machine Learning),Round 1,14709,19078,WBJEE Seats,Home State,SC
"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Computer Science & Engineering (Artificial Intelligence And Machine Learning),Round 1,9826,10439,WBJEE Seats,Home State,OBC - B
"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Computer Science & Engineering (Artificial Intelligence And Machine Learning),Round 1,3796,8343,WBJEE Seats,All India,Open
"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Computer Science & Engineering (Artificial Intelligence And Machine Learning),Round 1,13672,17050,WBJEE Seats,Home State,OBC - A
"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Computer Science & Engineering (Artificial Intelligence And Machine Learning),Round 1,63599,67657,WBJEE Seats,Home State,ST
"Heritage Institute of Technology, Kolkata",Chemical Engineering,Round 1,7895,29205,WBJEE Seats,All India,Open
"Heritage Institute of Technology, Kolkata",Chemical Engineering,Round 1,29466,81211,WBJEE Seats,Home State,EWS
"Heritage Institute of Technology, Kolkata",Chemical Engineering,Round 1,30840,30840,WBJEE Seats,Home State,SC
Jadavpur University,Chemical Engineering,Round 1,95300,95300,WBJEE Seats,Home State,OBC - A (PwD)
"Heritage Institute of Technology, Kolkata",Biotechnology,Round 1,3988,24931,WBJEE Seats,All India,Open
"Heritage Institute of Technology, Kolkata",Biotechnology,Round 1,24943,24943,WBJEE Seats,Home State,SC
"Ramkrishna Mahato Government Engineering College, Purulia",Mechanical Engineering,Round 1,21063,24010,WBJEE Seats,Home State,OBC - A
"Ramkrishna Mahato Government Engineering College, Purulia",Mechanical Engineering,Round 1,66484,95257,WBJEE Seats,Home State,ST
"Ramkrishna Mahato Government Engineering College, Purulia",Mechanical Engineering,Round 1,17101,17678,WBJEE Seats,Home State,OBC - B
"Ramkrishna Mahato Government Engineering College, Purulia",Mechanical Engineering,Round 1,10481,16922,WBJEE Seats,Home State,Open
Jadavpur University,PRINTING ENGINEERING,Round 1,92724,92724,WBJEE Seats,Home State,Open (PwD)
University Of Calcutta,Electrical Engineering,Round 1,8932,9281,WBJEE Seats,Home State,SC
"Ramkrishna Mahato Government Engineering College, Purulia",Mechanical Engineering,Round 1,18113,24174,WBJEE Seats,Home State,EWS
"Ramkrishna Mahato Government Engineering College, Purulia",Mechanical Engineering,Round 1,84934,84934,WBJEE Seats,Home State,Open (PwD)
"Kalyani Goverment Engineering College, Kalyani, Nadia",Mechanical Engineering,Round 1,4498,5049,WBJEE Seats,Home State,OBC - B
"Kalyani Goverment Engineering College, Kalyani, Nadia",Mechanical Engineering,Round 1,5616,7880,WBJEE Seats,Home State,EWS
"Mckv Institute of Engineering, Liluah, Howrah",Mechanical Engineering,Round 1,18830,95398,WBJEE Seats,All India,Open
DARJEELING HILL INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Mechanical Engineering,Round 1,24156,68935,WBJEE Seats,All India,Open
"Hemnalini Memorial College of Engineering, Haringhata",Mechanical Engineering,Round 1,45485,69119,WBJEE Seats,All India,Open
"Ideal Institute of Engineering, Kalyani",Mechanical Engineering,Round 1,29412,76225,WBJEE Seats,All India,Open
"Netaji Subhas Engineering College, Garia, Kolkata",Mechanical Engineering,Round 1,27528,95527,WBJEE Seats,All India,Open
"Haldia Institute of Technology, Haldia, Purba Medinipur",Information Technology (TFW),Round 1,3644,11360,WBJEE Seats,Home State,Tuition Fee Waiver
"Mckv Institute of Engineering, Liluah, Howrah",Information Technology (TFW),Round 1,20747,25454,WBJEE Seats,Home State,Tuition Fee Waiver
"Netaji Subhas Engineering College, Garia, Kolkata",Information Technology (TFW),Round 1,9711,11644,WBJEE Seats,Home State,Tuition Fee Waiver
"Techno International New Town, Rajarhat, New Town",Information Technology (TFW),Round 1,20283,25331,WBJEE Seats,Home State,Tuition Fee Waiver
"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology (TFW),Round 1,2345,2583,WBJEE Seats,Home State,Tuition Fee Waiver
"Techno Main Salt Lake, Sector-V, Salt Lake",Information Technology (TFW),Round 1,5978,7596,WBJEE Seats,Home State,Tuition Fee Waiver
"Jis College of Engineering, Kalyani, Nadia",Information Technology (TFW),Round 1,22172,24770,WBJEE Seats,Home State,Tuition Fee Waiver
"UNIVERSITY INSTITUTE OF TECHNOLOGY, BURDWAN UNIVERSITY",Information Technology (TFW),Round 1,8428,11004,WBJEE Seats,Home State,Tuition Fee Waiver
"Govt. College of Engineering & Textile Technology, Serampore",Information Technology (TFW),Round 1,6755,7153,WBJEE Seats,Home State,Tuition Fee Waiver
"Bankura Unnayani Institute of Engineering, Bankura",Information Technology (TFW),Round 1,20088,20088,WBJEE Seats,Home State,Tuition Fee Waiver
"Kaji Nazrul University, Asansol",Mining Engineering,Round 1,53520,67489,WBJEE Seats,Home State,EWS
"Kaji Nazrul University, Asansol",Mining Engineering,Round 1,24321,26235,WBJEE Seats,Home State,OBC - B
"Techno Main Salt Lake, Sector-V, Salt Lake",Computer Science & Engineering (Data Science),Round 1,7449,13778,WBJEE Seats,All India,Open
University Of Calcutta,"CHEMICAL TECHNOLOGY (Ceramic Engineering, Oil Technology, Petrochem & petro refinery Engg, Pharmaceutical & Fine Chemical Technology)",Round 1,12469,15540,WBJEE Seats,Home State,SC
University Of Calcutta,"CHEMICAL TECHNOLOGY (Ceramic Engineering, Oil Technology, Petrochem & petro refinery Engg, Pharmaceutical & Fine Chemical Technology)",Round 1,98500,98500,WBJEE Seats,Home State,Open (PwD)
University Of Calcutta,"CHEMICAL TECHNOLOGY (Ceramic Engineering, Oil Technology, Petrochem & petro refinery Engg, Pharmaceutical & Fine Chemical Technology)",Round 1,2076,2655,WBJEE Seats,All India,Open
University Of Calcutta,"CHEMICAL TECHNOLOGY (Ceramic Engineering, Oil Technology, Petrochem & petro refinery Engg, Pharmaceutical & Fine Chemical Technology)",Round 1,5000,6024,WBJEE Seats,Home State,OBC - B
University Of Calcutta,"CHEMICAL TECHNOLOGY (Ceramic Engineering, Oil Technology, Petrochem & petro refinery Engg, Pharmaceutical & Fine Chemical Technology)",Round 1,6425,8628,WBJEE Seats,Home State,EWS
University Of Calcutta,"CHEMICAL TECHNOLOGY (Ceramic Engineering, Oil Technology, Petrochem & petro refinery Engg, Pharmaceutical & Fine Chemical Technology)",Round 1,8340,9810,WBJEE Seats,Home State,OBC - A
University Of Calcutta,"CHEMICAL TECHNOLOGY (Ceramic Engineering, Oil Technology, Petrochem & petro refinery Engg, Pharmaceutical & Fine Chemical Technology)",Round 1,3386,4365,WBJEE Seats,Home State,Open
University Of Calcutta,"CHEMICAL TECHNOLOGY (Ceramic Engineering, Oil Technology, Petrochem & petro refinery Engg, Pharmaceutical & Fine Chemical Technology)",Round 1,64114,91593,WBJEE Seats,Home State,ST
"Meghnad Saha Institute of Technology, Kolkata",ELECTRICAL & COMPUTER ENGINEERING,Round 1,42773,69620,WBJEE Seats,All India,Open
"Netaji Subhas Engineering College, Garia, Kolkata",ELECTRICAL & COMPUTER ENGINEERING,Round 1,41013,98217,WBJEE Seats,All India,Open
"Kaji Nazrul University, Asansol",Metallurgical And Materials Engineering,Round 1,15876,22672,WBJEE Seats,All India,Open
"Kaji Nazrul University, Asansol",Metallurgical And Materials Engineering,Round 1,26871,31838,WBJEE Seats,Home State,OBC - A
Jadavpur University,Electronics & Tele-Communication Engineering,Round 1,9665,11580,WBJEE Seats,Home State,Open (PwD)
Jadavpur University,Electronics & Tele-Communication Engineering,Round 1,1046,1576,WBJEE Seats,Home State,OBC - A
Jadavpur University,Electronics & Tele-Communication Engineering,Round 1,643,1189,WBJEE Seats,Home State,EWS
Jadavpur University,Electronics & Tele-Communication Engineering,Round 1,933,2378,WBJEE Seats,Home State,SC
Jadavpur University,Electronics & Tele-Communication Engineering,Round 1,7584,13591,WBJEE Seats,Home State,ST
Jadavpur University,Electronics & Tele-Communication Engineering,Round 1,42748,42748,WBJEE Seats,Home State,SC (PwD)
Jadavpur University,Electronics & Tele-Communication Engineering,Round 1,80,235,WBJEE Seats,All India,Open
JAKIR HOSSAIN INSTITUTE OF PHARMACY,B.Pharm/Pharmaceutical Technology,Round 1,41405,100431,WBJEE Seats,All India,Open
Jadavpur University,Electronics & Tele-Communication Engineering,Round 1,776,985,WBJEE Seats,Home State,OBC - B
Jadavpur University,Electronics & Tele-Communication Engineering,Round 1,242,445,WBJEE Seats,Home State,Open
"Sister Nivedita University, New Town",ROBOTICS & ARTIFICIAL INTELLIGENCE (TFW),Round 1,30962,32544,WBJEE Seats,Home State,Tuition Fee Waiver
"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,Round 1,11704,16456,WBJEE Seats,Home State,OBC - A
"Seacom Engineering College, Sankrail, Howrah",Electrical Engineering,Round 1,30504,49249,WBJEE Seats,All India,Open
"Kalyani Goverment Engineering College, Kalyani, Nadia",Electrical Engineering,Round 1,2282,3470,WBJEE Seats,Home State,Open
"Kalyani Goverment Engineering College, Kalyani, Nadia",Electrical Engineering,Round 1,6258,7206,WBJEE Seats,Home State,OBC - A
"Kalyani Goverment Engineering College, Kalyani, Nadia",Electrical Engineering,Round 1,4151,6621,WBJEE Seats,Home State,EWS
"Kalyani Goverment Engineering College, Kalyani, Nadia",Electrical Engineering,Round 1,25218,43167,WBJEE Seats,Home State,ST
"Kalyani Goverment Engineering College, Kalyani, Nadia",Electrical Engineering,Round 1,3540,3633,WBJEE Seats,Home State,OBC - B
"Kalyani Goverment Engineering College, Kalyani, Nadia",Electrical Engineering,Round 1,93337,93337,WBJEE Seats,Home State,OBC - B (PwD)
"Kalyani Goverment Engineering College, Kalyani, Nadia",Electrical Engineering,Round 1,45431,48356,WBJEE Seats,Home State,Open (PwD)
"Kalyani Goverment Engineering College, Kalyani, Nadia",Electrical Engineering,Round 1,9839,12382,WBJEE Seats,Home State,SC
"Camellia Institute of Engineering and Technology, Bud Bud, Burdwan",Electrical Engineering,Round 1,52465,52465,WBJEE Seats,All India,Open
"Mckv Institute of Engineering, Liluah, Howrah",Electrical Engineering,Round 1,6679,95917,WBJEE Seats,All India,Open
"St. Thomas College of Engineering & Technology, Khidirpur, Kolkata",Electrical Engineering,Round 1,29242,94746,WBJEE Seats,All India,Open
"Techno International New Town, Rajarhat, New Town",COMPUTER SCIENCE AND INFORMATION TECHNOLOGY-TFW,Round 1,26150,27747,WBJEE Seats,Home State,Tuition Fee Waiver
"Netaji Subhas Engineering College, Garia, Kolkata",COMPUTER SCIENCE AND INFORMATION TECHNOLOGY-TFW,Round 1,10577,15959,WBJEE Seats,Home State,Tuition Fee Waiver
BRAINWARE UNIVERSITY,COMPUTER SCIENCE & ENGINEERING (ROBOTICS AND ARTIFICIAL INTELLIGENCE),Round 1,23911,86736,WBJEE Seats,All India,Open
"Sister Nivedita University, New Town",ROBOTICS & ARTIFICIAL INTELLIGENCE,Round 1,13914,89887,WBJEE Seats,All India,Open
"Techno International New Town, Rajarhat, New Town",ELECTRICAL & COMPUTER ENGINEERING,Round 1,18853,38352,WBJEE Seats,All India,Open
"Netaji Subhas Engineering College, Garia, Kolkata",COMPUTER SCIENCE & ENGINEERING (INTERNET OF THINGS),Round 1,25886,72386,WBJEE Seats,All India,Open
"Meghnad Saha Institute of Technology, Kolkata",COMPUTER SCIENCE & ENGINEERING (INTERNET OF THINGS),Round 1,43187,97737,WBJEE Seats,All India,Open
"Techno International New Town, Rajarhat, New Town",COMPUTER SCIENCE & ENGINEERING (INTERNET OF THINGS),Round 1,24846,51783,WBJEE Seats,All India,Open
"Techno Main Salt Lake, Sector-V, Salt Lake",COMPUTER SCIENCE & ENGINEERING (INTERNET OF THINGS),Round 1,31953,52605,WBJEE Seats,Home State,EWS
Jadavpur University,Production Engineering,Round 1,3862,4712,WBJEE Seats,Home State,OBC - A
"Techno Main Salt Lake, Sector-V, Salt Lake",COMPUTER SCIENCE & ENGINEERING (INTERNET OF THINGS),Round 1,11783,18197,WBJEE Seats,All India,Open
"Sister Nivedita University, New Town",COMPUTER SCIENCE & ENGINEERING (INTERNET OF THINGS),Round 1,70661,80424,WBJEE Seats,All India,Open
"Sister Nivedita University, New Town",COMPUTER SCIENCE & ENGINEERING (INTERNET OF THINGS) (TFW),Round 1,28657,30152,WBJEE Seats,Home State,Tuition Fee Waiver
"Techno Main Salt Lake, Sector-V, Salt Lake",COMPUTER SCIENCE & ENGINEERING (INTERNET OF THINGS) (TFW),Round 1,8705,9136,WBJEE Seats,Home State,Tuition Fee Waiver
"Techno International New Town, Rajarhat, New Town",COMPUTER SCIENCE & ENGINEERING (INTERNET OF THINGS) (TFW),Round 1,20021,26049,WBJEE Seats,Home State,Tuition Fee Waiver
"Meghnad Saha Institute of Technology, Kolkata",COMPUTER SCIENCE & ENGINEERING (INTERNET OF THINGS) (TFW),Round 1,17294,21279,WBJEE Seats,Home State,Tuition Fee Waiver
"Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex, Dum Dum",Mechanical Engineering,Round 1,55775,55775,WBJEE Seats,All India,Open
"Supreme Knowledge Foundation Group of Institutions, Mankundu, Hooghly",Mechanical Engineering,Round 1,88796,88796,WBJEE Seats,All India,Open
"Jis College of Engineering, Kalyani, Nadia",Mechanical Engineering,Round 1,44880,90231,WBJEE Seats,All India,Open
"Bengal College of Engineering & Technology, Durgapur",Mechanical Engineering,Round 1,27738,57560,WBJEE Seats,All India,Open
"Budge Budge Institute of Technology, Budge-Budge",Mechanical Engineering,Round 1,64937,96293,WBJEE Seats,All India,Open
"P.G. INSTITUTE OF MEDICAL SCIENCES, CHANDRAKONA",B.Pharm/Pharmaceutical Technology,Round 1,11748,50421,WBJEE Seats,All India,Open
"Seacom Skills University, Bolpur",Data Science,Round 1,26317,67926,WBJEE Seats,All India,Open
Jadavpur University,PRINTING ENGINEERING,Round 1,28328,43164,WBJEE Seats,Home State,ST
"Calcutta Institute of Technology, Uluberia, Howrah",Mechanical Engineering,Round 1,37235,97415,WBJEE Seats,All India,Open
"Asansol Engineering College, Asansol, Burdwan",Mechanical Engineering,Round 1,29463,95425,WBJEE Seats,All India,Open
"Bengal Institute of Technology & Management, Santiniketan",Mechanical Engineering,Round 1,49470,49470,WBJEE Seats,Home State,SC
"Bengal Institute of Technology & Management, Santiniketan",Mechanical Engineering,Round 1,74678,74678,WBJEE Seats,All India,Open
"Techno Main Salt Lake, Sector-V, Salt Lake",Mechanical Engineering,Round 1,83180,83180,WBJEE Seats,Home State,EWS
"Dr. B. C. Roy Engineering College, Durgapur",Mechanical Engineering,Round 1,80172,96926,WBJEE Seats,All India,Open
"Techno Main Salt Lake, Sector-V, Salt Lake",Mechanical Engineering,Round 1,19225,65077,WBJEE Seats,All India,Open
"NSHM KNOWLEDGE CAMPUS, KOLKATA GROUP OF INSTITUTIONS, KOLKATA",B.Pharm/Pharmaceutical Technology,Round 1,6476,34224,WBJEE Seats,All India,Open
"NSHM KNOWLEDGE CAMPUS, KOLKATA GROUP OF INSTITUTIONS, KOLKATA",B.Pharm/Pharmaceutical Technology,Round 1,34337,90044,WBJEE Seats,Home State,EWS
SEACOM PHARMACY COLLEGE,B.Pharm/Pharmaceutical Technology,Round 1,5979,100361,WBJEE Seats,All India,Open
FLEMMING COLLEGE OF PHARMACY,B.Pharm/Pharmaceutical Technology,Round 1,30308,99902,WBJEE Seats,All India,Open
"BENGAL SCHOOL OF TECHNOLOGY, SUGANDHA, HOOGHLY",B.Pharm/Pharmaceutical Technology,Round 1,74017,74017,WBJEE Seats,Home State,EWS
"BENGAL SCHOOL OF TECHNOLOGY, SUGANDHA, HOOGHLY",B.Pharm/Pharmaceutical Technology,Round 1,61146,64256,WBJEE Seats,Home State,OBC - B
"BENGAL SCHOOL OF TECHNOLOGY, SUGANDHA, HOOGHLY",B.Pharm/Pharmaceutical Technology,Round 1,3026,55137,WBJEE Seats,All India,Open
"BENGAL SCHOOL OF TECHNOLOGY, SUGANDHA, HOOGHLY",B.Pharm/Pharmaceutical Technology,Round 1,88897,88897,WBJEE Seats,Home State,ST
"Nshm Knowledge Campus, Durgapur Group of Institutions",Computer Science & Engineering (Artificial Intelligence)  (TFW),Round 1,9380,27458,WBJEE Seats,Home State,Tuition Fee Waiver
"Budge Budge Institute of Technology, Budge-Budge",Computer Science & Engineering (Artificial Intelligence)  (TFW),Round 1,28242,33404,WBJEE Seats,Home State,Tuition Fee Waiver
THE NEOTIA UNIVERSITY,Robotics And Automation Engineering,Round 1,21634,80960,WBJEE Seats,All India,Open
"Netaji Subhas Engineering College, Garia, Kolkata",ARTIFICIAL INTELLIGENCE (AI) AND DATA SCIENCE - TFW,Round 1,12761,12761,WBJEE Seats,Home State,Tuition Fee Waiver
"Techno International New Town, Rajarhat, New Town",ELECTRICAL & COMPUTER ENGINEERING (TFW),Round 1,29166,33518,WBJEE Seats,Home State,Tuition Fee Waiver
"Netaji Subhas Engineering College, Garia, Kolkata",ELECTRICAL & COMPUTER ENGINEERING (TFW),Round 1,14892,18606,WBJEE Seats,Home State,Tuition Fee Waiver
"Ramkrishna Mahato Government Engineering College, Purulia",Electronics & Communication Engineering,Round 1,52684,74435,WBJEE Seats,Home State,ST
"Siliguri Institute of Technology, Siliguri",Electronics & Communication Engineering,Round 1,11060,84630,WBJEE Seats,All India,Open
"Jalpaiguri Goverment Engineering College,Jalpaiguri",Electronics & Communication Engineering,Round 1,2493,3673,WBJEE Seats,Home State,Open
"Jalpaiguri Goverment Engineering College,Jalpaiguri",Electronics & Communication Engineering,Round 1,9207,11867,WBJEE Seats,Home State,SC
"Jalpaiguri Goverment Engineering College,Jalpaiguri",Electronics & Communication Engineering,Round 1,3725,6353,WBJEE Seats,Home State,EWS
"Jalpaiguri Goverment Engineering College,Jalpaiguri",Electronics & Communication Engineering,Round 1,36832,40448,WBJEE Seats,Home State,Open (PwD)
"Jalpaiguri Goverment Engineering College,Jalpaiguri",Electronics & Communication Engineering,Round 1,4409,6520,WBJEE Seats,Home State,OBC - A
"Jalpaiguri Goverment Engineering College,Jalpaiguri",Electronics & Communication Engineering,Round 1,3681,3827,WBJEE Seats,Home State,OBC - B
"Jalpaiguri Goverment Engineering College,Jalpaiguri",Electronics & Communication Engineering,Round 1,37997,42004,WBJEE Seats,Home State,ST
"Bengal College of Engineering & Technology, Durgapur",Electronics & Communication Engineering,Round 1,50240,88264,WBJEE Seats,All India,Open
"Budge Budge Institute of Technology, Budge-Budge",Electronics & Communication Engineering,Round 1,19544,92254,WBJEE Seats,All India,Open
"Ramkrishna Mahato Government Engineering College, Purulia",Electrical Engineering,Round 1,39134,71778,WBJEE Seats,Home State,ST
"Ramkrishna Mahato Government Engineering College, Purulia",Electrical Engineering,Round 1,17384,26377,WBJEE Seats,Home State,SC
"Ramkrishna Mahato Government Engineering College, Purulia",Electrical Engineering,Round 1,15129,19536,WBJEE Seats,Home State,OBC - A
"Ramkrishna Mahato Government Engineering College, Purulia",Electrical Engineering,Round 1,15484,21467,WBJEE Seats,Home State,EWS
"Ramkrishna Mahato Government Engineering College, Purulia",Electrical Engineering,Round 1,13529,14247,WBJEE Seats,Home State,OBC - B
"Ramkrishna Mahato Government Engineering College, Purulia",Electrical Engineering,Round 1,4605,13386,WBJEE Seats,Home State,Open
"Institute of Pharmacy, Jalpaiguri",B.Pharm/Pharmaceutical Technology,Round 1,27763,32012,WBJEE Seats,Home State,ST
Jadavpur University,Mechanical Engineering,Round 1,1456,5474,WBJEE Seats,Home State,SC
Jadavpur University,Mechanical Engineering,Round 1,16483,26644,WBJEE Seats,Home State,ST
"Siliguri Institute of Technology, Siliguri",Electrical Engineering,Round 1,35541,89877,WBJEE Seats,All India,Open
"Jalpaiguri Goverment Engineering College,Jalpaiguri",Electrical Engineering,Round 1,4286,4831,WBJEE Seats,Home State,OBC - B
"Jalpaiguri Goverment Engineering College,Jalpaiguri",Electrical Engineering,Round 1,2900,4173,WBJEE Seats,Home State,Open
"Jalpaiguri Goverment Engineering College,Jalpaiguri",Electrical Engineering,Round 1,6727,7313,WBJEE Seats,Home State,EWS
"Jalpaiguri Goverment Engineering College,Jalpaiguri",Electrical Engineering,Round 1,4966,7040,WBJEE Seats,Home State,OBC - A
"Jalpaiguri Goverment Engineering College,Jalpaiguri",Electrical Engineering,Round 1,12493,13686,WBJEE Seats,Home State,SC
"Jalpaiguri Goverment Engineering College,Jalpaiguri",Electrical Engineering,Round 1,41445,51068,WBJEE Seats,Home State,ST
"Jalpaiguri Goverment Engineering College,Jalpaiguri",Electrical Engineering,Round 1,56211,70081,WBJEE Seats,Home State,Open (PwD)
"Hooghly Engineering & Technology College, Hooghly",Computer Science & Engineering - TFW,Round 1,10910,22101,WBJEE Seats,Home State,Tuition Fee Waiver
"Institute of Pharmacy, Jalpaiguri",B.Pharm/Pharmaceutical Technology,Round 1,6182,10189,WBJEE Seats,Home State,EWS
"Narula Institute of Technology, Agarpara, Kolkata",Computer Science & Engineering - TFW,Round 1,8239,11042,WBJEE Seats,Home State,Tuition Fee Waiver
"Sanaka Education Trusts Group of Institutions, Durgapur, Burdwan",Computer Science & Engineering - TFW,Round 1,18015,37296,WBJEE Seats,Home State,Tuition Fee Waiver
"Cooch Behar Government Engineering College, Cooch Behar",Computer Science & Engineering - TFW,Round 1,4404,5908,WBJEE Seats,Home State,Tuition Fee Waiver
