Opening Rank,Closing Rank,Academic Program Name,Institute,Seat Type,Quota,Gender
98684,103671,"Bio Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Home State,Gender-Neutral
153051,153051,"Bio Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Home State,Female-only (including Supernumerary)
182169,220552,"Bio Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Home State,Gender-Neutral
261614,261614,"Bio Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",SC,Home State,Gender-Neutral
59170,60293,"Bio Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Gender-Neutral
63961,63961,"Bio Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Other State,Gender-Neutral
66693,67394,"Chemical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Home State,Gender-Neutral
73433,73433,"Chemical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Home State,Gender-Neutral
67701,67701,"Chemical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Home State,Female-only (including Supernumerary)
151515,151515,"Chemical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Home State,Gender-Neutral
248733,248733,"Chemical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",SC,Home State,Gender-Neutral
46087,46097,"Chemical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Gender-Neutral
47262,47262,"Chemical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Other State,Gender-Neutral
49011,52653,"Chemical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Other State,Gender-Neutral
81611,82536,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Home State,Gender-Neutral
86890,88704,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Home State,Female-only (including Supernumerary)
108096,108096,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Home State,Gender-Neutral
136351,136351,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Home State,Female-only (including Supernumerary)
169661,170295,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Home State,Gender-Neutral
49980,51229,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Gender-Neutral
75916,75916,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Female-only (including Supernumerary)
53450,53450,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Other State,Gender-Neutral
88211,88211,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Other State,Female-only (including Supernumerary)
55393,57850,"Civil Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Other State,Gender-Neutral
13732,13737,"Computer Science and Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Gender-Neutral
24362,24362,"Computer Science and Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Female-only (including Supernumerary)
15101,15101,"Computer Science and Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Other State,Gender-Neutral
17262,17412,"Computer Science and Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Other State,Gender-Neutral
497878,497878,"Computer Science and Engineering for DASA-CIWG (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,DASA-CIWG,Gender-Neutral
21022,21022,"Data Science and Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Home State,Gender-Neutral
28491,29384,"Data Science and Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Female-only (including Supernumerary)
23687,23687,"Data Science and Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Other State,Gender-Neutral
33138,33460,"Electrical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Home State,Gender-Neutral
41063,41063,"Electrical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Home State,Gender-Neutral
25402,25402,"Electrical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Gender-Neutral
40523,40523,"Electrical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Female-only (including Supernumerary)
29055,30627,"Electrical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Other State,Gender-Neutral
156023,156023,"Electrical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",SC,Other State,Female-only (including Supernumerary)
26947,27681,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Home State,Gender-Neutral
26815,26815,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Home State,Female-only (including Supernumerary)
34154,34154,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Home State,Gender-Neutral
80582,80582,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Home State,Gender-Neutral
19723,20451,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Gender-Neutral
31125,31125,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Female-only (including Supernumerary)
21535,22426,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Other State,Gender-Neutral
25046,25367,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Other State,Gender-Neutral
29802,29802,"Electronics and VLSI Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Home State,Gender-Neutral
34806,34806,"Electronics and VLSI Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Home State,Gender-Neutral
82261,82261,"Electronics and VLSI Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Home State,Gender-Neutral
21954,23301,"Electronics and VLSI Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Gender-Neutral
24610,24610,"Electronics and VLSI Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Other State,Gender-Neutral
25427,26812,"Electronics and VLSI Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Other State,Gender-Neutral
255117,255117,"Industrial and Production Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",ST,All India,Gender-Neutral
79511,80500,"Industrial and Production Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Home State,Gender-Neutral
80506,80506,"Industrial and Production Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Home State,Female-only (including Supernumerary)
178044,178044,"Industrial and Production Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Home State,Gender-Neutral
52305,52305,"Industrial and Production Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Gender-Neutral
54411,54411,"Industrial and Production Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Other State,Gender-Neutral
58949,60726,"Industrial and Production Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Other State,Gender-Neutral
281852,295528,"Industrial and Production Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",ST,Other State,Gender-Neutral
24035,24035,"Information Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Home State,Gender-Neutral
25474,25474,"Information Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Home State,Female-only (including Supernumerary)
27322,27322,"Information Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Female-only (including Supernumerary)
46532,46738,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Home State,Gender-Neutral
109710,109710,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Home State,Gender-Neutral
30065,30065,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Gender-Neutral
37757,37938,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Other State,Gender-Neutral
25343,25343,"Mathematics and Computing (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Home State,Gender-Neutral
33560,33560,"Mathematics and Computing (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Home State,Gender-Neutral
18044,18474,"Mathematics and Computing (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Gender-Neutral
30332,30332,"Mathematics and Computing (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Female-only (including Supernumerary)
24091,24091,"Mathematics and Computing (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Other State,Gender-Neutral
56739,57413,"Mechanical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Home State,Gender-Neutral
72136,83940,"Mechanical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Home State,Gender-Neutral
118303,129422,"Mechanical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Home State,Gender-Neutral
263583,263583,"Mechanical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",SC,Home State,Female-only (including Supernumerary)
36370,36865,"Mechanical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Gender-Neutral
60855,60855,"Mechanical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Female-only (including Supernumerary)
68351,68351,"Mechanical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Other State,Female-only (including Supernumerary)
42331,43190,"Mechanical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Other State,Gender-Neutral
80945,80945,"Mechanical Engineering (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Other State,Female-only (including Supernumerary)
133710,136040,"Textile Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Home State,Gender-Neutral
159828,159828,"Textile Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Home State,Gender-Neutral
225635,241438,"Textile Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Home State,Gender-Neutral
298570,298570,"Textile Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",SC,Home State,Gender-Neutral
266788,266788,"Textile Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",SC,Home State,Female-only (including Supernumerary)
62682,64539,"Textile Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Gender-Neutral
92035,96038,"Textile Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OPEN,Other State,Female-only (including Supernumerary)
65214,65214,"Textile Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Other State,Gender-Neutral
100834,100834,"Textile Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",EWS,Other State,Female-only (including Supernumerary)
69701,75150,"Textile Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Other State,Gender-Neutral
100072,100072,"Textile Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",OBC-NCL,Other State,Female-only (including Supernumerary)
202304,202304,"Textile Technology (4 Years, Bachelor of Technology)","Dr. B R Ambedkar National Institute of Technology, Jalandhar",SC,Other State,Gender-Neutral
8412,8412,"Architecture (5 Years, Bachelor of Architecture)",Malaviya National Institute of Technology Jaipur,OBC-NCL,Home State,Female-only (including Supernumerary)
9746,9746,"Architecture (5 Years, Bachelor of Architecture)",Malaviya National Institute of Technology Jaipur,EWS,Other State,Gender-Neutral
7191,7191,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",Malaviya National Institute of Technology Jaipur,OPEN,Home State,Gender-Neutral
29630,29630,"Chemical Engineering (4 Years, Bachelor of Technology)",Malaviya National Institute of Technology Jaipur,OPEN,Home State,Gender-Neutral
36184,36184,"Chemical Engineering (4 Years, Bachelor of Technology)",Malaviya National Institute of Technology Jaipur,EWS,Home State,Gender-Neutral
36958,36958,"Chemical Engineering (4 Years, Bachelor of Technology)",Malaviya National Institute of Technology Jaipur,OBC-NCL,Home State,Gender-Neutral
30416,30464,"Chemical Engineering (4 Years, Bachelor of Technology)",Malaviya National Institute of Technology Jaipur,OPEN,Other State,Gender-Neutral
31954,31954,"Chemical Engineering (4 Years, Bachelor of Technology)",Malaviya National Institute of Technology Jaipur,EWS,Other State,Gender-Neutral
38061,38460,"Chemical Engineering (4 Years, Bachelor of Technology)",Malaviya National Institute of Technology Jaipur,OBC-NCL,Other State,Gender-Neutral
43393,44675,"Civil Engineering (4 Years, Bachelor of Technology)",Malaviya National Institute of Technology Jaipur,OBC-NCL,Other State,Gender-Neutral
15362,15362,"Electrical Engineering (4 Years, Bachelor of Technology)",Malaviya National Institute of Technology Jaipur,OPEN,Home State,Gender-Neutral
17543,17573,"Electrical Engineering (4 Years, Bachelor of Technology)",Malaviya National Institute of Technology Jaipur,OPEN,Other State,Gender-Neutral
10655,10827,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Malaviya National Institute of Technology Jaipur,OPEN,Other State,Gender-Neutral
15091,15091,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Malaviya National Institute of Technology Jaipur,EWS,Other State,Gender-Neutral
25728,25728,"Mechanical Engineering (4 Years, Bachelor of Technology)",Malaviya National Institute of Technology Jaipur,OPEN,Other State,Gender-Neutral
37644,37644,"Mechanical Engineering (4 Years, Bachelor of Technology)",Malaviya National Institute of Technology Jaipur,OPEN,Other State,Female-only (including Supernumerary)
28757,28757,"Mechanical Engineering (4 Years, Bachelor of Technology)",Malaviya National Institute of Technology Jaipur,EWS,Other State,Gender-Neutral
31542,31649,"Mechanical Engineering (4 Years, Bachelor of Technology)",Malaviya National Institute of Technology Jaipur,OBC-NCL,Other State,Gender-Neutral
38601,38601,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Malaviya National Institute of Technology Jaipur,OPEN,Home State,Gender-Neutral
38727,38727,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Malaviya National Institute of Technology Jaipur,OPEN,Other State,Gender-Neutral
48789,48789,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Malaviya National Institute of Technology Jaipur,OBC-NCL,Other State,Gender-Neutral
32408,32408,"Architecture (5 Years, Bachelor of Architecture)",Maulana Azad National Institute of Technology Bhopal,OBC-NCL,Home State,Gender-Neutral
1326,1326,"Architecture (5 Years, Bachelor of Architecture)",Maulana Azad National Institute of Technology Bhopal,OPEN,Other State,Gender-Neutral
9393,9393,"Architecture (5 Years, Bachelor of Architecture)",Maulana Azad National Institute of Technology Bhopal,EWS,Other State,Gender-Neutral
3217,3217,"Architecture (5 Years, Bachelor of Architecture)",Maulana Azad National Institute of Technology Bhopal,OBC-NCL,Other State,Gender-Neutral
50398,50398,"B. Tech. and M. Tech. in Engineering and Computational Mechanics (Dual Degree) (5 Years, Bachelor and Master of Technology (Dual Degree))",Maulana Azad National Institute of Technology Bhopal,OBC-NCL,Home State,Gender-Neutral
37068,37068,"B. Tech. and M. Tech. in Engineering and Computational Mechanics (Dual Degree) (5 Years, Bachelor and Master of Technology (Dual Degree))",Maulana Azad National Institute of Technology Bhopal,OBC-NCL,Other State,Gender-Neutral
122266,122266,"B. Tech. and M. Tech. in Engineering and Computational Mechanics (Dual Degree) (5 Years, Bachelor and Master of Technology (Dual Degree))",Maulana Azad National Institute of Technology Bhopal,SC,Other State,Gender-Neutral
45818,46377,"Chemical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OPEN,Home State,Gender-Neutral
47600,49576,"Chemical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,EWS,Home State,Gender-Neutral
53318,54652,"Chemical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OBC-NCL,Home State,Gender-Neutral
37810,38958,"Chemical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OPEN,Other State,Gender-Neutral
46841,46841,"Chemical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OPEN,Other State,Female-only (including Supernumerary)
43461,43461,"Chemical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,EWS,Other State,Gender-Neutral
47735,48164,"Chemical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OBC-NCL,Other State,Gender-Neutral
51683,53993,"Civil Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OPEN,Home State,Gender-Neutral
70223,70223,"Civil Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,EWS,Home State,Gender-Neutral
59275,64313,"Civil Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OBC-NCL,Home State,Gender-Neutral
48022,48022,"Civil Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OPEN,Other State,Gender-Neutral
54226,54570,"Civil Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OBC-NCL,Other State,Gender-Neutral
17750,17750,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OPEN,Other State,Female-only (including Supernumerary)
25933,25999,"Electrical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OPEN,Home State,Gender-Neutral
27947,28148,"Electrical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,EWS,Home State,Gender-Neutral
31493,31493,"Electrical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OBC-NCL,Home State,Gender-Neutral
127022,127022,"Electrical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,SC,Home State,Gender-Neutral
24031,24636,"Electrical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OPEN,Other State,Gender-Neutral
37052,37052,"Electrical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OPEN,Other State,Female-only (including Supernumerary)
29935,30465,"Electrical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,EWS,Other State,Gender-Neutral
29013,29177,"Electrical Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OBC-NCL,Other State,Gender-Neutral
19024,19024,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OPEN,Home State,Gender-Neutral
24100,24607,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OBC-NCL,Home State,Gender-Neutral
16561,16708,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OPEN,Other State,Gender-Neutral
22370,22370,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OBC-NCL,Other State,Gender-Neutral
43312,43312,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OBC-NCL,Other State,Female-only (including Supernumerary)
32678,32678,"Energy and Electrical Vehicle Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OPEN,Other State,Gender-Neutral
51561,51561,"Energy and Electrical Vehicle Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,OPEN,Other State,Female-only (including Supernumerary)
42743,42743,"Energy and Electrical Vehicle Engineering (4 Years, Bachelor of Technology)",Maulana Azad National Institute of Technology Bhopal,EWS,Other State,Gender-Neutral
